fname,prefix,fingers,side,label
b1913667-a52d-46e3-b415-3c5d3c9ff7ae_0L.png,b1913667-a52d-46e3-b415-3c5d3c9ff7ae,0,L,0L
dfef960b-a6e3-4e64-afe4-c72de79ef8d3_0L.png,dfef960b-a6e3-4e64-afe4-c72de79ef8d3,0,L,0L
c8c04a01-0ef6-4b31-849f-a808ec72af16_0L.png,c8c04a01-0ef6-4b31-849f-a808ec72af16,0,L,0L
2fc141a2-10e5-42a1-9474-9674cd458293_0L.png,2fc141a2-10e5-42a1-9474-9674cd458293,0,L,0L
3dba9b74-d573-4241-b416-2fb7b7c1bc44_0L.png,3dba9b74-d573-4241-b416-2fb7b7c1bc44,0,L,0L
3dd61223-b99c-48d1-ab04-e2ccb67aafa0_0L.png,3dd61223-b99c-48d1-ab04-e2ccb67aafa0,0,L,0L
67ab9aba-212d-44ef-a7bc-dca0a32f5a53_0L.png,67ab9aba-212d-44ef-a7bc-dca0a32f5a53,0,L,0L
96ca6351-133f-450a-ae25-74bdb8d4cfb2_0L.png,96ca6351-133f-450a-ae25-74bdb8d4cfb2,0,L,0L
b70caa79-9ef7-4425-aa6e-d1c6577220ec_0L.png,b70caa79-9ef7-4425-aa6e-d1c6577220ec,0,L,0L
7345d3ae-6539-45d9-86ed-ecb62449cf47_0L.png,7345d3ae-6539-45d9-86ed-ecb62449cf47,0,L,0L
47985dc3-a9cd-4218-ae7d-a077e1adce56_0L.png,47985dc3-a9cd-4218-ae7d-a077e1adce56,0,L,0L
a379a093-9b27-4727-83d1-e35c1841f6bb_0L.png,a379a093-9b27-4727-83d1-e35c1841f6bb,0,L,0L
beacb187-49b4-4c8d-a1b5-5dcbb2d3af47_0L.png,beacb187-49b4-4c8d-a1b5-5dcbb2d3af47,0,L,0L
c53f0705-1583-4c38-ac7a-dbeb26c8f518_0L.png,c53f0705-1583-4c38-ac7a-dbeb26c8f518,0,L,0L
6b42b1b4-696a-4c73-83c8-3c900776ba5e_0L.png,6b42b1b4-696a-4c73-83c8-3c900776ba5e,0,L,0L
89582860-a137-4927-aa0d-dab348c20c2b_0L.png,89582860-a137-4927-aa0d-dab348c20c2b,0,L,0L
6c1f6bba-57f5-4487-b9f9-cc9819c966dc_0L.png,6c1f6bba-57f5-4487-b9f9-cc9819c966dc,0,L,0L
55f29d00-b863-4ec4-9469-db1393265b4e_0L.png,55f29d00-b863-4ec4-9469-db1393265b4e,0,L,0L
2b17c441-aa03-4a7c-a1dc-80641d54c829_0L.png,2b17c441-aa03-4a7c-a1dc-80641d54c829,0,L,0L
7119dc94-b423-451e-9b3d-532dd14eb10d_0L.png,7119dc94-b423-451e-9b3d-532dd14eb10d,0,L,0L
b9a5343d-de94-40e5-8a9b-740b3686db8d_0L.png,b9a5343d-de94-40e5-8a9b-740b3686db8d,0,L,0L
381799fb-25bd-4817-b2db-0424af7a2939_0L.png,381799fb-25bd-4817-b2db-0424af7a2939,0,L,0L
d37487e0-7876-4ab8-b074-3829d958f512_0L.png,d37487e0-7876-4ab8-b074-3829d958f512,0,L,0L
e909ffd5-9841-4a91-b1f9-5cffb1f827aa_0L.png,e909ffd5-9841-4a91-b1f9-5cffb1f827aa,0,L,0L
b1ef883e-cef7-4d1f-b885-c30a0dc60a29_0L.png,b1ef883e-cef7-4d1f-b885-c30a0dc60a29,0,L,0L
b1a0de6c-bdc9-4fd4-9993-dc0e68404f9a_0L.png,b1a0de6c-bdc9-4fd4-9993-dc0e68404f9a,0,L,0L
c041fcaf-1d7c-4e26-8b25-60dc26ecc8e1_0L.png,c041fcaf-1d7c-4e26-8b25-60dc26ecc8e1,0,L,0L
9ab4be9c-f0f1-49e6-a056-13c8fe3ec920_0L.png,9ab4be9c-f0f1-49e6-a056-13c8fe3ec920,0,L,0L
4eb8314a-bcfe-45b4-871c-2ea7a39e7e9a_0L.png,4eb8314a-bcfe-45b4-871c-2ea7a39e7e9a,0,L,0L
c6a034a6-8aa7-4edc-b399-b838dd0df0ee_0L.png,c6a034a6-8aa7-4edc-b399-b838dd0df0ee,0,L,0L
e2d7c05c-9ff7-42b8-9dbf-82e43fafe500_0L.png,e2d7c05c-9ff7-42b8-9dbf-82e43fafe500,0,L,0L
500d74c3-313d-491c-b144-e806e2e68eec_0L.png,500d74c3-313d-491c-b144-e806e2e68eec,0,L,0L
844b0784-2bad-46e8-9646-8f7766fb45b0_0L.png,844b0784-2bad-46e8-9646-8f7766fb45b0,0,L,0L
c233615c-d494-4b67-aa62-72248a1901f5_0L.png,c233615c-d494-4b67-aa62-72248a1901f5,0,L,0L
50a899e1-5b9a-4920-ba3d-2591045e339b_0L.png,50a899e1-5b9a-4920-ba3d-2591045e339b,0,L,0L
0280e01b-2974-4779-b9aa-3a4fa767592e_0L.png,0280e01b-2974-4779-b9aa-3a4fa767592e,0,L,0L
d0fb9618-9841-456e-89fe-7c8df6d279a5_0L.png,d0fb9618-9841-456e-89fe-7c8df6d279a5,0,L,0L
9c324603-9bca-4789-9a15-fb06760f84af_0L.png,9c324603-9bca-4789-9a15-fb06760f84af,0,L,0L
111ad462-9bb2-4c69-8268-63a7585c8dad_0L.png,111ad462-9bb2-4c69-8268-63a7585c8dad,0,L,0L
b46c014b-d659-4484-9152-d95f9c4459d0_0L.png,b46c014b-d659-4484-9152-d95f9c4459d0,0,L,0L
643ff773-1443-4816-af81-eedae06881b2_0L.png,643ff773-1443-4816-af81-eedae06881b2,0,L,0L
f69c8376-5d8b-4cd7-bf6f-7ec582b65bff_0L.png,f69c8376-5d8b-4cd7-bf6f-7ec582b65bff,0,L,0L
2f5e1a27-261e-4572-bbcf-c91142aad3fb_0L.png,2f5e1a27-261e-4572-bbcf-c91142aad3fb,0,L,0L
b13a58c5-dab5-4264-b5ed-899236fee6f1_0L.png,b13a58c5-dab5-4264-b5ed-899236fee6f1,0,L,0L
06230352-6ee2-476e-993e-35a15c062ec5_0L.png,06230352-6ee2-476e-993e-35a15c062ec5,0,L,0L
ce7e376d-68a8-40e7-9251-ea0aa13d5e49_0L.png,ce7e376d-68a8-40e7-9251-ea0aa13d5e49,0,L,0L
d777ed68-e840-4441-86bd-527f5cdd6994_0L.png,d777ed68-e840-4441-86bd-527f5cdd6994,0,L,0L
9c0964ba-3610-4c45-9ace-d12348bbcf25_0L.png,9c0964ba-3610-4c45-9ace-d12348bbcf25,0,L,0L
e7230c7f-618b-4603-8eac-01c5120bc01c_0L.png,e7230c7f-618b-4603-8eac-01c5120bc01c,0,L,0L
308a4781-0123-4d05-ae44-2fe6e3ce4a24_0L.png,308a4781-0123-4d05-ae44-2fe6e3ce4a24,0,L,0L
33d098b0-edc1-4c2c-92aa-81776f2c7d94_0L.png,33d098b0-edc1-4c2c-92aa-81776f2c7d94,0,L,0L
dc08d66f-0963-4f85-bf76-8abc499d0e59_0L.png,dc08d66f-0963-4f85-bf76-8abc499d0e59,0,L,0L
261a9b18-7c28-4052-a233-7bea8dbffc0f_0L.png,261a9b18-7c28-4052-a233-7bea8dbffc0f,0,L,0L
2d133af8-56bd-4898-9832-50e1802ec7a0_0L.png,2d133af8-56bd-4898-9832-50e1802ec7a0,0,L,0L
